Rank,Pick,Name,Pos,Team,Bye,Overall,StdDev,High,Low,TimesDrafted,,
1,1.02,Jamaal Charles,RB,KC,10,1.7,0.8,1.01,1.04,496,1,RB1
2,1.02,LeSean McCoy,RB,PHI,12,2,0.9,1.01,1.05,514,2,RB2
3,1.03,Adrian Peterson,RB,MIN,5,3,1.1,1.01,1.06,429,3,RB3
4,1.04,Matt Forte,RB,CHI,8,4.5,1.1,1.02,1.09,497,4,RB4
5,1.06,Eddie Lacy,RB,GB,4,5.8,1.6,1.01,1.12,497,5,RB5
6,1.06,Calvin Johnson,WR,DET,9,6.3,2,1.01,2.01,518,1,WR1
7,1.06,Marshawn Lynch,RB,SEA,12,6.5,1.6,1.02,1.12,507,6,RB6
8,1.08,Jimmy Graham,TE,NO,7,8.3,2.4,1.02,2.06,454,1,TE1
9,1.09,LeVeon Bell,RB,PIT,5,9.3,2.3,1.03,2.06,505,7,RB7
10,1.1,Demaryius Thomas,WR,DEN,9,10.2,2.3,1.04,2.05,488,2,WR2
11,1.12,Josh Gordon,WR,CLE,10,12.1,2.6,1.05,2.09,468,3,WR3
12,2.01,A.J. Green,WR,CIN,12,13.1,2.6,1.06,2.08,476,4,WR4
13,2.02,Doug Martin,RB,TB,5,14,3.8,1.03,3.06,442,8,RB8
14,2.02,DeMarco Murray,RB,DAL,11,14.2,3.2,1.07,2.12,501,9,RB9
15,2.03,Peyton Manning,QB,DEN,9,14.6,5.1,1.01,3.04,436,1,QB1
16,2.04,Dez Bryant,WR,DAL,11,16.4,3.1,1.08,3.06,535,5,WR5
17,2.04,Zac Stacy,RB,STL,11,16.5,3.5,1.08,3.07,521,10,RB10
18,2.06,Arian Foster,RB,HOU,8,17.9,4,1.07,3.07,525,11,RB11
19,2.07,Brandon Marshall,WR,CHI,8,18.6,3.3,1.1,3.05,544,6,WR6
20,2.07,Julio Jones,WR,ATL,6,19,3.1,1.1,3.06,541,7,WR7
21,2.09,Alfred Morris,RB,WAS,5,20.7,4.2,1.09,3.09,511,12,RB12
22,2.1,Aaron Rodgers,QB,GB,4,22.2,5.8,1.07,4.04,477,2,QB2
23,2.11,Giovani Bernard,RB,CIN,12,22.5,4.7,1.1,3.11,506,13,RB13
24,2.12,Drew Brees,QB,NO,7,24,5.1,1.1,4.03,479,3,QB3
25,3.02,Reggie Bush,RB,DET,9,25.6,4.6,2.01,4.01,501,14,RB14
26,3.02,Antonio Brown,WR,PIT,5,25.9,3.9,2.03,4.01,512,8,WR8
27,3.03,Jordy Nelson,WR,GB,4,26.8,3.4,2.06,4.02,488,9,WR9
28,3.05,Alshon Jeffery,WR,CHI,8,28.6,4,2.06,4.08,508,10,WR10
29,3.05,Randall Cobb,WR,GB,4,29,3.9,2.06,4.07,495,11,WR11
30,3.05,C.J. Spiller,RB,BUF,12,29.4,5,2.04,4.07,519,15,RB15
31,3.08,Julius Thomas,TE,DEN,9,32.2,5.7,2.05,5.02,465,2,TE2
32,3.09,Ray Rice,RB,BAL,8,32.5,5.8,2.05,5.03,406,16,RB16
33,3.1,Keenan Allen,WR,SD,8,33.6,4.7,2.1,5.02,467,12,WR12
34,3.1,Montee Ball,RB,DEN,9,34.1,6.1,2.06,5.08,521,17,RB17
35,3.11,Ryan Mathews,RB,SD,8,34.6,4.7,2.1,5.05,481,18,RB18
36,4.01,DeSean Jackson,WR,PHI,12,37.1,5,2.12,5.04,461,13,WR13
37,4.02,Pierre Garcon,WR,WAS,5,37.6,5.1,3.01,5.06,478,14,WR14
38,4.02,Rob Gronkowski,TE,NE,10,38.2,7.2,2.07,6.01,429,3,TE3
39,4.05,Michael Crabtree,WR,SF,9,41,5.2,3.03,5.12,480,15,WR15
40,4.05,Percy Harvin,WR,SEA,12,41.1,5.9,3.01,5.12,518,16,WR16
41,4.06,Chris Johnson,RB,TEN,8,41.9,6.6,3.01,6.03,457,19,RB19
42,4.06,Andre Johnson,WR,HOU,8,42,5.4,3.03,6.06,494,17,WR17
43,4.06,Frank Gore,RB,SF,9,42.1,7.1,2.11,6.01,439,20,RB20
44,4.08,Vincent Jackson,WR,TB,5,44.1,4.8,3.07,5.1,481,18,WR18
45,4.11,Larry Fitzgerald,WR,ARI,9,46.6,5.9,3.07,6.03,453,19,WR19
46,4.11,Nick Foles,QB,PHI,12,46.9,11,2.06,7.12,354,4,QB4
47,4.12,Victor Cruz,WR,NYG,9,47.8,5.5,3.09,6.05,477,20,WR20
48,4.12,Wes Welker,WR,DEN,9,48.4,5.5,3.1,6.06,469,21,WR21
49,4.12,Knowshon Moreno,RB,DEN,9,48.4,9,3.01,6.12,327,21,RB21
50,5.03,Shane Vereen,RB,NE,10,50.6,7.6,3.06,6.1,474,22,RB22
51,5.03,Cam Newton,QB,CAR,4,50.7,8.8,3.03,7.06,384,5,QB5
52,5.03,Andre Ellington,RB,ARI,9,51.3,8.8,3.04,8.04,566,23,RB23
53,5.03,T.Y. Hilton,WR,IND,8,51.4,5.8,3.12,6.09,480,22,WR22
54,5.04,Vernon Davis,TE,SF,9,51.8,7.2,3.09,6.11,425,4,TE4
55,5.05,Roddy White,WR,ATL,6,53.1,5.9,4.01,7.02,482,23,WR23
56,5.06,Cordarrelle Patterson,WR,MIN,5,54.3,7.5,3.1,7.07,511,24,WR24
57,5.07,Trent Richardson,RB,IND,8,54.8,8.1,3.09,7.02,476,24,RB24
58,5.1,Eric Decker,WR,DEN,9,58.4,7.2,4.03,7.08,448,25,WR25
59,5.11,Ben Tate,RB,HOU,8,59.3,8.3,4.01,8.11,429,25,RB25
60,5.11,Steven Jackson,RB,ATL,6,59.3,7.8,4.02,7.08,458,26,RB26
61,6.02,Andrew Luck,QB,IND,8,61.7,10.8,3.09,8.07,419,6,QB6
62,6.02,Jordan Cameron,TE,CLE,10,62.1,8.6,4.03,8.06,355,5,TE5
63,6.03,Matthew Stafford,QB,DET,9,63.4,8.5,4.05,8.06,412,7,QB7
64,6.05,Joique Bell,RB,DET,9,64.7,8.2,4.07,8.08,465,27,RB27
65,6.05,Maurice Jones-Drew,RB,JAC,9,64.8,8.2,4.07,8.09,429,28,RB28
66,6.05,Justin Blackmon,WR,JAC,9,64.9,7.6,4.1,8.09,424,26,WR26
67,6.06,Andre Brown,RB,NYG,9,66.3,9.1,4.06,8.12,438,29,RB29
68,6.07,Torrey Smith,WR,BAL,8,66.8,7.9,4.1,8.08,429,27,WR27
69,6.1,Julian Edelman,WR,NE,10,69.9,7.8,5.01,9.01,371,28,WR28
70,6.1,Jordan Reed,TE,WAS,5,70.2,8.7,4.11,8.11,355,6,TE6
71,6.1,Reggie Wayne,WR,IND,8,70.3,8.1,5.01,8.09,387,29,WR29
72,6.12,Jason Witten,TE,DAL,11,71.7,8.1,5.02,9.05,328,7,TE7
73,7.02,Matt Ryan,QB,ATL,6,73.6,8.9,5.02,8.12,405,8,QB8
74,7.03,Danny Woodhead,RB,SD,8,74.5,9.3,5.02,9.01,381,30,RB30
75,7.04,Tom Brady,QB,NE,10,75.6,11,4.11,9.09,405,9,QB9
76,7.04,Marques Colston,WR,NO,7,76.1,9.3,5.03,9.03,327,30,WR30
77,7.05,Chris Ivory,RB,NYJ,10,77,9,5.05,9.08,386,31,RB31
78,7.06,Stevan Ridley,RB,NE,10,77.8,10.1,5.03,9.08,401,32,RB32
79,7.06,Mike Wallace,WR,MIA,6,78.5,8.5,5.08,9.05,358,31,WR31
80,7.07,Kendall Wright,WR,TEN,8,79.2,9.1,5.07,9.12,492,32,WR32
81,7.07,Dennis Pitta,TE,BAL,8,79.3,9,5.07,10.07,342,8,TE8
82,7.07,Rashad Jennings,RB,OAK,7,79.4,9.3,5.07,9.07,446,33,RB33
83,7.1,Michael Floyd,WR,ARI,9,82,9.7,5.08,10.04,415,33,WR33
84,7.1,Seattle Defense,DEF,SEA,12,82.4,9.4,5.1,9.07,601,1,DEF1
85,7.12,Darren Sproles,RB,NO,7,83.8,9.9,5.1,9.09,364,34,RB34
86,8.03,Fred Jackson,RB,BUF,12,86.6,9.2,6.02,10.05,321,35,RB35
87,8.04,Jeremy Maclin,WR,PHI,12,87.9,10.7,5.12,11.01,372,34,WR34
88,8.05,Terrance Williams,WR,DAL,11,89.2,11.4,5.11,11.03,470,35,WR35
89,8.05,Lamar Miller,RB,MIA,6,89.4,9.2,6.05,10.06,327,36,RB36
90,8.06,Colin Kaepernick,QB,SF,9,89.6,11.7,5.11,10.12,410,10,QB10
91,8.06,Philip Rivers,QB,SD,8,90.4,11.4,6.01,10.08,351,11,QB11
92,8.07,LeGarrette Blount,RB,NE,10,91.1,11.9,5.12,11.04,271,37,RB37
93,8.08,Tavon Austin,WR,STL,11,92.2,9.6,6.07,10.09,367,36,WR36
94,8.09,Greg Olsen,TE,CAR,4,92.6,14.1,5.07,11.11,278,9,TE9
95,8.09,Anquan Boldin,WR,SF,9,93.4,10.1,6.07,10.11,286,37,WR37
96,8.1,Darren McFadden,RB,OAK,7,94.2,9.9,6.08,10.11,339,38,RB38
97,8.12,Marcus Lattimore,RB,SF,9,96.1,11.4,6.06,12.06,330,39,RB39
98,8.12,Tony Romo,QB,DAL,11,96.3,12.2,6.04,11.02,421,12,QB12
99,9.02,Rueben Randle,WR,NYG,9,97.6,10.5,6.1,11.09,344,38,WR38
100,9.03,James Jones,WR,GB,4,99.4,13.4,6.04,11.07,248,39,WR39
101,9.04,San Francisco Defense,DEF,SF,9,99.5,9.3,7.03,11.04,304,2,DEF2
102,9.04,Dwayne Bowe,WR,KC,10,100.4,10.1,7.02,11.09,354,40,WR40
103,9.05,Donald Brown,RB,IND,8,101.3,11.1,6.12,11.05,240,40,RB40
104,9.07,Robert Griffin III,QB,WAS,5,102.7,10.1,7.04,11.09,474,13,QB13
105,9.09,Riley Cooper,WR,PHI,12,104.6,12,7.01,12.01,225,41,WR41
106,9.1,Pierre Thomas,RB,NO,7,105.7,11.4,7.03,12.07,270,41,RB41
107,9.1,Russell Wilson,QB,SEA,12,106.2,11.2,7.04,11.1,386,14,QB14
108,9.11,Kyle Rudolph,TE,MIN,5,106.7,18.4,6.01,13.1,334,10,TE10
109,9.11,Carolina Defense,DEF,CAR,4,107,9.2,7.11,11.05,316,3,DEF3
110,9.11,DeAngelo Williams,RB,CAR,4,107,11.8,7.04,12.11,313,42,RB42
111,9.12,Cecil Shorts,WR,JAC,9,108.1,10.7,7.08,12.01,312,42,WR42
112,10.01,DeAndre Hopkins,WR,HOU,8,108.8,11.8,7.05,12.02,394,43,WR43
113,10.03,Jordan Todman,RB,JAC,9,111.2,12.6,7.06,12.12,321,43,RB43
114,10.03,Jay Cutler,QB,CHI,8,111.3,9.8,8.01,12.05,423,15,QB15
115,10.04,Danny Amendola,WR,NE,10,112.2,10.9,7.11,12.11,304,44,WR44
116,10.05,Kansas City Defense,DEF,KC,10,113.4,9.1,8.05,12.12,233,4,DEF4
117,10.07,Latavius Murray,RB,OAK,7,115.2,12.5,7.1,13.12,275,44,RB44
118,10.07,Shonn Greene,RB,TEN,8,115.3,12.4,7.1,13.03,248,45,RB45
119,10.09,Marvin Jones,WR,CIN,12,116.8,11.4,8.03,13.04,261,45,WR45
120,10.09,Arizona Defense,DEF,ARI,9,116.9,9.3,8.08,13.03,215,5,DEF5
121,10.1,David Wilson,RB,NYG,9,117.7,13.4,7.1,14.12,312,46,RB46
122,10.1,Hakeem Nicks,WR,NYG,9,118.2,9.6,8.09,12.1,316,46,WR46
123,11.01,Martellus Bennett,TE,CHI,8,121.1,16.6,7.05,15.01,391,11,TE11
124,11.01,Zach Ertz,TE,PHI,12,121.3,18,7.02,15.04,440,12,TE12
125,11.02,Aaron Dobson,WR,NE,10,122.4,11.6,8.08,13.06,280,47,WR47
126,11.04,Cincinnati Defense,DEF,CIN,12,124,8.4,9.06,13.07,208,6,DEF6
127,11.04,Andy Dalton,QB,CIN,12,124.3,10.8,8.12,13.02,247,16,QB16
128,11.04,Steve Smith,WR,CAR,4,124.5,10.6,8.12,13.05,216,48,WR48
129,11.06,St. Louis Defense,DEF,STL,11,126,9.2,9.06,13.09,141,7,DEF7
130,11.07,Ben Roethlisberger,QB,PIT,5,126.5,8.9,9.07,13.09,273,17,QB17
131,11.08,Stevie Johnson,WR,BUF,12,127.9,8.8,9.08,14.08,214,49,WR49
132,11.08,Bernard Pierce,RB,BAL,8,128,15.2,8.04,15.03,378,47,RB47
133,11.1,Charles Clay,TE,MIA,6,130.2,14.6,8.08,15.1,491,13,TE13
134,11.12,Kenny Stills,WR,NO,7,131.5,11.9,9.04,14.11,218,50,WR50
135,12.01,Danario Alexander,WR,SD,8,133.3,12.9,9.03,14.08,114,51,WR51
136,12.02,BenJarvus Green-Ellis,RB,CIN,12,133.5,14.6,8.11,15.07,216,48,RB48
137,12.04,Greg Jennings,WR,MIN,5,136,11.4,9.1,15.04,163,52,WR52
138,12.05,Mark Ingram,RB,NO,7,137.2,14.5,9.03,15.09,229,49,RB49
139,12.07,Alex Smith,QB,KC,10,138.9,10.3,10.04,15.03,133,18,QB18
140,12.07,Delanie Walker,TE,TEN,8,138.9,17.2,8.1,15.11,398,14,TE14
141,12.07,Justin Hunter,WR,TEN,8,139.4,13.6,9.07,15.12,173,53,WR53
142,12.09,Knile Davis,RB,KC,10,140.6,18.1,8.09,15.11,257,50,RB50
143,12.09,Roy Helu,RB,WAS,5,140.6,15,9.05,15.06,174,51,RB51
144,12.11,Stephen Gostkowski,PK,NE,10,143,9.9,10.09,14.04,362,1,PK1
145,12.11,Emmanuel Sanders,WR,PIT,5,143.1,14.7,9.08,15.11,192,54,WR54
146,13.01,Antonio Gates,TE,SD,8,145.5,18.8,8.12,15.12,242,15,TE15
147,13.02,Rashard Mendenhall,RB,ARI,9,145.8,16,9.08,15.07,161,52,RB52
148,13.02,Robert Woods,WR,BUF,12,146,14.1,10.04,15.12,167,55,WR55
149,13.02,Christine Michael,RB,SEA,12,146.1,15.2,9.1,15.12,262,53,RB53
150,13.02,Tampa Bay Defense,DEF,TB,5,146.2,14.4,9.12,15.07,170,8,DEF8
151,13.03,Matt Prater,PK,DEN,9,146.7,9.9,11.01,14.06,327,2,PK2
152,13.03,Golden Tate,WR,SEA,12,146.9,15,9.11,15.12,151,56,WR56
153,13.04,Ryan Tannehill,QB,MIA,6,147.8,13.8,10.03,15.11,136,19,QB19
154,13.04,Bryce Brown,RB,PHI,12,148,16.7,9.08,15.12,211,54,RB54
155,13.05,Houston Defense,DEF,HOU,8,148.5,14,10.11,15.12,142,9,DEF9
156,13.05,Markus Wheaton,WR,PIT,5,149.4,15.1,10.02,15.12,219,57,WR57
157,13.07,Coby Fleener,TE,IND,8,150.6,15.1,10.03,15.12,268,16,TE16
158,13.07,Brian Hartline,WR,MIA,6,151.1,14.7,10.04,15.12,167,58,WR58
159,13.07,Sam Bradford,QB,STL,11,151.1,13.5,10.11,15.11,120,20,QB20
160,13.08,Justin Tucker,PK,BAL,8,151.9,8.1,11.1,15.03,188,3,PK3
161,13.08,James Starks,RB,GB,4,152.1,16,10.11,15.12,148,55,RB55
162,13.09,Vick Ballard,RB,IND,8,152.5,17.2,10.05,15.12,102,56,RB56
163,13.09,Carson Palmer,QB,ARI,9,153,14.7,10.06,15.12,105,21,QB21
164,13.09,Dwayne Allen,TE,IND,8,153,16.5,10.11,15.11,36,17,TE17
165,13.09,Steven Hauschka,PK,SEA,12,153.3,8.4,11.11,14.1,192,4,PK4
166,13.09,Jacquizz Rodgers,RB,ATL,6,153.4,16,10.03,15.12,151,57,RB57
167,13.1,Denarius Moore,WR,OAK,7,153.6,18.8,9.08,15.11,152,59,WR59
168,13.1,New England Defense,DEF,NE,10,153.9,12.3,11.09,15.12,183,10,DEF10
169,13.11,Mike James,RB,TB,5,154.8,19.5,9.08,15.12,111,58,RB58
170,13.11,Kendall Hunter,RB,SF,9,155.1,20.2,9.1,15.11,54,59,RB59
171,13.11,Denver Defense,DEF,DEN,9,155.2,22.8,8.11,15.12,95,11,DEF11
172,13.12,Tyler Eifert,TE,CIN,12,155.8,14.7,10.09,15.12,189,18,TE18
173,14.01,Toby Gerhart,RB,MIN,5,156.7,16.1,11.02,15.11,40,60,RB60
174,14.01,Mike Williams,WR,TB,5,156.8,18.1,10.01,15.12,110,60,WR60
175,14.01,Jonathan Stewart,RB,CAR,4,157.2,14.7,10.11,15.11,35,61,RB61
176,14.01,Eli Manning,QB,NYG,9,157.3,14,10.12,15.12,120,22,QB22
177,14.02,Ahmad Bradshaw,RB,IND,8,157.6,16,10.09,15.11,51,62,RB62
178,14.02,Heath Miller,TE,PIT,5,157.9,16.4,10.12,15.11,42,19,TE19
179,14.02,Jerrel Jernigan,WR,FA,12,158,14.3,11.08,15.11,36,61,WR61
180,14.02,Jared Cook,TE,STL,11,158.3,16.6,10.07,15.12,39,20,TE20
181,14.03,Doug Baldwin,WR,SEA,12,158.9,16.6,10.07,15.12,130,62,WR62
182,14.04,Phil Dawson,PK,SF,9,159.9,11,11.11,15.11,103,5,PK5
183,14.04,Owen Daniels,TE,HOU,8,160.3,16.9,10.08,15.12,62,21,TE21
184,14.04,Jake Locker,QB,TEN,8,160.3,13.4,12.02,15.12,31,23,QB23
185,14.04,Kenny Britt,WR,TEN,8,160.4,14,12.08,15.11,27,63,WR63
186,14.05,Michael Vick,QB,PHI,12,160.7,15.1,11.01,15.12,112,24,QB24
187,14.05,Jermichael Finley,TE,GB,4,160.9,16.9,10.08,15.12,62,22,TE22
188,14.05,Cleveland Defense,DEF,CLE,10,161.2,11.8,11.1,15.12,177,12,DEF12
189,14.05,Jermaine Kearse,WR,SEA,12,161.3,16.1,10.11,15.12,49,64,WR64
190,14.06,Bilal Powell,RB,NYJ,10,161.7,14.9,11.05,15.12,54,63,RB63
191,14.06,Dan Bailey,PK,DAL,11,162.2,8,12.09,15.09,122,6,PK6
192,14.07,Rod Streater,WR,OAK,7,162.5,13.8,11.06,15.12,67,65,WR65
193,14.08,Mason Crosby,PK,GB,4,163.5,9.1,12.07,15.12,120,7,PK7
194,14.08,Chicago Defense,DEF,CHI,8,163.6,11.6,12.01,15.12,100,13,DEF13
195,14.08,Mike Tolbert,RB,CAR,4,164.1,14.5,11.06,15.12,101,64,RB64
196,14.08,Buffalo Defense,DEF,BUF,12,164.4,14.2,11.09,15.12,88,14,DEF14
197,14.09,Joe Flacco,QB,BAL,8,165.2,11.8,12.02,15.12,21,25,QB25
198,14.09,Kenbrell Thompkins,WR,NE,10,165.3,11.3,12.03,15.12,92,66,WR66
199,14.1,Baltimore Defense,DEF,BAL,8,166.2,13.5,11.11,15.12,57,15,DEF15
200,14.11,Blair Walsh,PK,MIN,5,167.3,6.5,13.06,15.12,112,8,PK8
201,14.12,NY Jets Defense,DEF,NYJ,10,168.4,8.5,13.02,15.12,61,16,DEF16
202,15.01,EJ Manuel,QB,BUF,12,169.3,10.9,12.08,15.12,42,26,QB26
203,15.02,Robbie Gould,PK,CHI,8,169.6,5.1,13.12,15.12,90,9,PK9
204,15.02,Alex Henery,PK,PHI,12,169.9,11.1,12.09,15.12,55,10,PK10
205,15.02,Nick Novak,PK,SD,8,170.1,5.7,13.11,15.12,89,11,PK11
206,15.04,Matt Bryant,PK,ATL,6,171.5,5.1,14.04,15.12,86,12,PK12
207,15.04,Greg Zuerlein,PK,STL,11,172.4,5,14.07,15.12,73,13,PK13
208,15.06,David Akers,PK,DET,9,174,3.2,15.02,15.12,17,14,PK14